#Fields: date time c-ip cs-username cs-method cs-uri-stem cs-uri-query sc-status sc-bytes cs(User-Agent) cs(Referer)
2012-12-16 13:57:03 81.84.46.0 EMULATED_HTC_INCREDIBLE_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+2.1;+en-us;+HTC+Incredible+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 14:19:07 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 14:27:54 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 14:28:07 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 14:30:08 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 14:31:52 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 14:32:31 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 14:36:38 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 15:00:22 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 15:02:38 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 15:05:59 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
